"senador","fuerza","partidoBloque","provincia","voto"
"RISTA. Olga María","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BALDASSI. Héctor Walter","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"MASSOT. Nicolás","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"PRETTO. Pedro Javier","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"DINDART. Julián","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"SEMHAN. María de las Mercedes","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"VALDES. Gustavo Adolfo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"D'AGOSTINO. Jorge Marcelo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MONFORT. Marcelo Alejandro","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"GAYOL. Yanina","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"HERNANDEZ. Martín","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ALBORNOZ. Gabriela Romina","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BURGOS. María Gabriela","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MARTINEZ. Silvia Alejandra","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"KRONEBERGER. Daniel Ricardo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"TORROBA. Francisco Javier","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MAQUIEYRA. Martín","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"OLIVARES. Héctor Enrique","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"VEGA. María Clara","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MOLINA. Karina","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"BORSANI. Luis Gustavo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"GIMENEZ. Patricia Viviana","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"PETRI. Luis Alfonso","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BALBO. Elva Susana","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"HUCZAK. Stella Maris","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"ZIEGLER. Alex Roberto","CAMBIEMOS","Libertad y Democracia","Senador","AFIRMATIVO"
"PASTORI. Luis Mario","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"LOPEZ KOENIG. Leandro","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"WISKY. Sergio Javier","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"NANNI. Miguel","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"CACERES. Eduardo Augusto","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"RICCARDO. José Luis","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"COSTA. Eduardo Raúl","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"ROQUEL. Héctor","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"TOLEDO. Susana María","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"COPES. Ana Isabel","CAMBIEMOS","Partido Demócrata Progresista","Senador","AFIRMATIVO"
"BARLETTA. Mario Domingo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MARCUCCI. Hugo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"INCICCO. Lucas Ciriaco","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"LASPINA. Luciano Andres","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"MARTINEZ. Ana Laura","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"NUÑEZ. José","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"SCAGLIA. Gisela","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"SPINOZZI. Ricardo Adrián","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"ROMA. Carlos Gastón","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"CASAÑAS. Juan Francisco","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"VILLAVICENCIO. Maria Teresita","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"GARRETON. Facundo","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"BERNABEY. Ramón Ernesto","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"CLOSS. Maurice","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"FRANCO. Jorge Daniel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"RISKO. Silvia Lucrecia","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"CASELLES. Graciela María","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"GALLARDO. Miriam Graciela del Valle","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AFIRMATIVO"
"CAVIGLIA. Franco Agustìn","OTROS","No Integra Bloque","Senador","AFIRMATIVO"
"RAFFO. Julio Cesar","OTROS","No Integra Bloque","Senador","AFIRMATIVO"
"DURAND CORNEJO. Guillermo Mario","OTROS","Conservador Popular","Senador","AFIRMATIVO"
"OLMEDO. Alfredo Horacio","OTROS","Salta Somos Todos","Senador","AFIRMATIVO"
"POGGI. Claudio Javier","OTROS","Avanzar San Luis","Senador","AFIRMATIVO"
"ABDALA DE MATARAZZO. Norma Amanda","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"HERRERA. José Alberto","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"JUAREZ. Manuel Humberto","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"NAVARRO. Graciela","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"OLIVA. Cristian Rodolfo","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"PASTORIZA. Mirta Ameliana","OTROS","Frente Cívico por Santiago","Senador","AFIRMATIVO"
"BOSSIO. Diego","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"ROBERTI. Alberto Oscar","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"ROMERO. Oscar Alberto","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"GIUSTOZZI. Rubén Darío","PJ_DISIDENTE","Social Cristiano","Senador","AFIRMATIVO"
"GUZMAN. Sandro Adrián","PJ_DISIDENTE","Social Cristiano","Senador","AFIRMATIVO"
"TOMASSI. Néstor Nicolás","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"MARTINEZ CAMPOS. Gustavo José","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"MACIAS. Oscar Alberto","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"RUBIN. Carlos Gustavo","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"SNOPEK. Guillermo","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"TENTOR. Héctor Olindo","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"FERNANDEZ MENDIA. Gustavo Rodolfo","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"ZILIOTTO. Sergio Raul","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"HERRERA. Luis Beder","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"MADERA. Teresita","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"MIRANDA. Rubén","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"DAVID. Néstor Javier","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"ISA. Evita Nelida","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"KOSINER. Pablo Francisco Juan","PJ_DISIDENTE","Justicialista","Senador","AFIRMATIVO"
"ARENAS. Berta Hortensia","PJ_DISIDENTE","Compromiso Federal","Senador","AFIRMATIVO"
"BIANCHI. Ivana María","PJ_DISIDENTE","Compromiso Federal","Senador","AFIRMATIVO"
"LUSQUIÑOS. Luis Bernardo","PJ_DISIDENTE","Compromiso Federal","Senador","AFIRMATIVO"
"ORELLANA. José Fernando","PJ_DISIDENTE","Primero Tucumán","Senador","AFIRMATIVO"
"STOLBIZER. Margarita Rosa","PROGRESISTAS","GEN","Senador","AFIRMATIVO"
"TROIANO. Gabriela Alejandra","PROGRESISTAS","Partido Socialista","Senador","AFIRMATIVO"
"DURE. Lucila Beatriz","PROGRESISTAS","Partido Socialista","Senador","AFIRMATIVO"
"BINNER. Hermes Juan","PROGRESISTAS","Partido Socialista","Senador","AFIRMATIVO"
"CICILIANI. Alicia Mabel","PROGRESISTAS","Partido Socialista","Senador","AFIRMATIVO"
"ALEGRE. Oscar Gilberto","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"ALONSO. Horacio Fernando","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"BEVILACQUA. Gustavo José","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"CAMAÑO. Graciela","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"DE MENDIGUREN. José Ignacio","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"EHCOSOR. María Azucena","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"LITZA. Monica","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"MASSA. Sergio Tomás","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"MOREAU. Cecilia","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"PASSO. Marcela Fabiana","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"PEREZ. Raúl Joaquin","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"SCHWINDT. María Liliana","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"SELVA. Carlos Americo","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"TUNDIS. Mirta","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"RUCCI. Claudia Monica","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"LAVAGNA. Marco","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"PITIOT. Carla Betina","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"TABOADA. Jorge Omar","UNA","Chubut Somos Todos","Senador","AFIRMATIVO"
"BERMEJO. Sixto Osvaldo","UNA","Trabajo y Dignidad","Senador","AFIRMATIVO"
"LAGORIA. Elia Nelly","UNA","Trabajo y Dignidad","Senador","AFIRMATIVO"
"BREZZO. María Eugenia","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"BRÜGGE. Juan Fernando","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"CALLERI. Agustin Santiago","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"NAZARIO. Adriana Monica","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"ROSSI. Blanca Araceli","UNA","Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"CREMER DE BUSTI. María Cristina","UNA","Unión por Entre Ríos","Senador","AFIRMATIVO"
"SNOPEK. Alejandro","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"SAN MARTIN. Adrián","UNA","Movimiento Popular Neuquino","Senador","AFIRMATIVO"
"VILLAR MOLINA. María Inés","UNA","Movimiento Popular Neuquino","Senador","AFIRMATIVO"
"CASTRO MOLINA. Enrique","UNA","Compromiso con San Juan","Senador","AFIRMATIVO"
"GRANDINETTI. Alejandro","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"MASSETANI. Vanesa","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"MORALES. Mariana Elizabet","UNA","Federal Unidos por una Nueva Argentina","Senador","AFIRMATIVO"
"RAMOS. Alejandro","FPV_y_aliados","Frente para la Victoria - PJ","Senador","AUSENTE"
"FABIANI. Eduardo Alberto","PJ_DISIDENTE","Social Cristiano","Senador","AUSENTE"
"DAER. Héctor Ricardo","UNA","Federal Unidos por una Nueva Argentina","Senador","AUSENTE"
"MOYANO. Juan Facundo","UNA","Federal Unidos por una Nueva Argentina","Senador","AUSENTE"
"SOLA. Felipe Carlos","UNA","Federal Unidos por una Nueva Argentina","Senador","AUSENTE"
"ALVAREZ RODRIGUEZ. Cristina","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"ARRIETA. Gustavo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CARLOTTO. Remo Gerardo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CASTAGNETO. Carlos Daniel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CIGOGNA. Luis Francisco Jorge","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CONTI. Diana Beatriz","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"de PEDRO. Eduardo Enrique","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"De VIDO. Julio Miguel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"DEPETRI. Edgardo Fernando","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"di TULLIO. Juliana","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"FURLAN. Abel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GARCIA. María Teresa","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GRANA. Adrián Eduardo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GRANADOS. Dulce","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GROSSO. Leonardo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GUERIN. María Isabel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"KUNKEL. Carlos Miguel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MENDOZA. Mayra Soledad","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MORENO. Carlos Julio","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RAVERTA. María Fernanda","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RECALDE. Héctor Pedro","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RODRIGUEZ. Rodrigo Martín","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"TAILHADE. Rodolfo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"VOLNOVICH. Luana","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MERCADO. Verónica Elizabeth","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CABANDIE. Juan","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GARRE. Nilda","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"KICILLOF. Axel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"LARROQUE. Andrés","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MAZURE. Liliana Amalia","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"HELLER. Carlos Salomón","FPV_y_aliados","Solidario SI","Senador","NEGATIVO"
"MASIN. María Lucila","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MENDOZA. Sandra Marcela","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"PEDRINI. Juan Manuel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RACH QUIROGA. Analía Alexandra","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"IGON. Santiago Nicolás","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"LLANOS. Ana","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"PEREYRA. Juan Manuel","FPV_y_aliados","Concertación FORJA","Senador","NEGATIVO"
"ESTEVEZ. Gabriela","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GUZMAN. Andres Ernesto","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"FERREYRA. Araceli","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RUIZ ARAGON. José Arnaldo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"BARRETO. Jorge Rubén","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GAILLARD. Ana Carolina","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GERVASONI. Lautaro","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"HUSS. Juan Manuel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"SOLANAS. Julio Rodolfo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"BASTERRA. Luis Eugenio","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"DIAZ ROIG. Juan Carlos","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"LOTTO. Inés Beatriz","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"ABRAHAM. Alejandro","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CARMONA. Guillermo Ramón","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"BRITEZ. Cristina","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"DI STEFANO. Daniel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CIAMPINI. José Alberto","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MARTINEZ. Norman Darío","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"BARDEGGIA. Luis Maria","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"DOÑATE. Claudio Martín","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"HORNE. Silvia","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"SORIA. María Emilia","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CASTRO. Sandra Daniela","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GIOJA. José Luis","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"TOMAS. Héctor Daniel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GOMEZ BULL. Mauricio Ricardo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"KIRCHNER. Máximo Carlos","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CLERI. Marcos","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"De PONTI. Lucila","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"FRANA. Silvina","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"GONZALEZ. Josefina Victoria","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"SEMINARA. Eduardo Jorge","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"CAROL. Analuz Ailén","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"PEREZ. Martín Alejandro","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"RODRIGUEZ. Matías","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"MARTINEZ. Oscar Anselmo","FPV_y_aliados","Movimiento Solidario Popular","Senador","NEGATIVO"
"CARRIZO. Nilda Mabel","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"SANTILLAN. Walter Marcelo","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"SORAIRE. Alicia","FPV_y_aliados","Frente para la Victoria - PJ","Senador","NEGATIVO"
"PITROLA. Néstor Antonio","IZQUIERDA","Fte. de Izquierda y de los Trabajadores","Senador","NEGATIVO"
"BREGMAN. Myriam","IZQUIERDA","PTS - Frente de Izquierda","Senador","NEGATIVO"
"SOSA CAPURRO. Soledad","IZQUIERDA","Fte. de Izquierda y de los Trabajadores","Senador","NEGATIVO"
"LOPEZ. Pablo Sebastián","IZQUIERDA","Fte. de Izquierda y de los Trabajadores","Senador","NEGATIVO"
"PLAINI. Francisco Omar","OTROS","Cultura. Educación y Trabajo","Senador","NEGATIVO"
"ARGUMEDO. Alcira Susana","OTROS","Proyecto Sur","Senador","NEGATIVO"
"DONDA PEREZ. Victoria Analía","PROGRESISTAS","Libres del Sur","Senador","NEGATIVO"
"COUSINET. Graciela","PROGRESISTAS","Libres del Sur","Senador","NEGATIVO"
"MASSO. Federico Augusto","PROGRESISTAS","Libres del Sur","Senador","NEGATIVO"
