"senador","fuerza","partidoBloque","provincia","voto"
"RISTA. Olga María","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BALDASSI. Héctor Walter","CAMBIEMOS","Unión PRO","Senador","NEGATIVO"
"MASSOT. Nicolás","PJ_DISIDENTE","Unión PRO","Senador","AFIRMATIVO"
"PRETTO. Pedro Javier","PJ_DISIDENTE","Unión PRO","Senador","AFIRMATIVO"
"DINDART. Julián","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"SEMHAN. María de las Mercedes","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"VALDES. Gustavo Adolfo","PJ_DISIDENTE","Unión Cívica Radical","Senador","NEGATIVO"
"D'AGOSTINO. Jorge Marcelo","CAMBIEMOS","Unión Cívica Radical","Senador","AUSENTE"
"MONFORT. Marcelo Alejandro","FPV_y_aliados","Unión Cívica Radical","Senador","AFIRMATIVO"
"GAYOL. Yanina","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"HERNANDEZ. Martín","PJ_DISIDENTE","Unión Cívica Radical","Senador","NEGATIVO"
"ALBORNOZ. Gabriela Romina","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"BURGOS. María Gabriela","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MARTINEZ. Silvia Alejandra","FPV_y_aliados","Unión Cívica Radical","Senador","AFIRMATIVO"
"KRONEBERGER. Daniel Ricardo","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"TORROBA. Francisco Javier","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"MAQUIEYRA. Martín","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"OLIVARES. Héctor Enrique","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"VEGA. María Clara","CAMBIEMOS","Unión Cívica Radical","Senador","NEGATIVO"
"MOLINA. Karina","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"BORSANI. Luis Gustavo","PJ_DISIDENTE","Unión Cívica Radical","Senador","AFIRMATIVO"
"GIMENEZ. Patricia Viviana","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"PETRI. Luis Alfonso","CAMBIEMOS","Unión Cívica Radical","Senador","ABSTENCION"
"BALBO. Elva Susana","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"HUCZAK. Stella Maris","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"ZIEGLER. Alex Roberto","CAMBIEMOS","Libertad y Democracia","Senador","AFIRMATIVO"
"PASTORI. Luis Mario","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"LOPEZ KOENIG. Leandro","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"WISKY. Sergio Javier","CAMBIEMOS","Unión PRO","Senador","NEGATIVO"
"NANNI. Miguel","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"CACERES. Eduardo Augusto","CAMBIEMOS","Unión PRO","Senador","AFIRMATIVO"
"RICCARDO. José Luis","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
"COSTA. Eduardo Raúl","CAMBIEMOS","Unión Cívica Radical","Senador","AFIRMATIVO"
